Date,y1,y2,y3,y4,y5,y6,sum
14/09/2013,3,18,20,37,54,58,190
15/09/2013,1,13,24,26,32,44,140
18/09/2013,16,27,36,43,55,56,233
21/09/2013,4,14,15,24,42,49,148
22/09/2013,12,14,19,27,46,47,165
25/09/2013,7,11,12,22,26,28,106
28/09/2013,4,9,13,15,45,58,144
29/09/2013,21,24,32,33,56,58,224
1/10/2013,11,14,26,32,41,56,180
2/10/2013,5,8,12,36,50,57,168
5/10/2013,9,18,30,35,50,54,196
6/10/2013,3,11,15,25,32,58,144
9/10/2013,6,21,35,36,39,48,185
12/10/2013,16,27,31,44,46,54,218
13/10/2013,6,23,26,28,48,57,188
16/10/2013,4,12,23,35,37,44,155
19/10/2013,8,20,28,31,50,52,189
20/10/2013,26,41,43,44,54,58,266
23/10/2013,9,19,30,38,47,57,200
26/10/2013,5,12,21,32,42,51,163
27/10/2013,8,15,22,24,33,58,160
29/10/2013,12,15,22,31,45,57,182
30/10/2013,10,27,28,45,49,52,211
2/11/2013,3,9,30,37,38,50,167
3/11/2013,10,20,36,40,41,57,204
5/11/2013,12,34,42,47,48,52,235
6/11/2013,6,14,19,23,55,56,173
9/11/2013,3,27,28,37,40,42,177
10/11/2013,1,8,22,27,38,40,136
13/11/2013,7,8,16,31,50,56,168
16/11/2013,8,18,19,28,30,31,134
17/11/2013,4,5,15,21,43,51,139
20/11/2013,20,31,41,43,49,50,234
23/11/2013,5,7,17,28,43,54,154
24/11/2013,10,15,16,36,42,55,174
26/11/2013,22,27,33,36,38,56,212
27/11/2013,16,21,34,37,42,50,200
30/11/2013,4,13,25,35,36,43,156
1/12/2013,5,8,15,30,48,54,160
3/12/2013,7,8,25,31,49,53,173
4/12/2013,5,7,12,16,32,44,116
